侵權行為損害賠償
返還借款
清償借款
確認本票債權不存在
給付工資
給付租金
給付違約金
執行異議
確認所有權
確認所有權不存在
確認所有權存在
確認土地所有權存在
確認土地所有權不存在
確認派下權
撤銷股東會決議
許可執行
給付退休金
確認買賣關係不存在
確認債權存在
確認債權不存在
協同辦理所有權移轉登記
交付贈與
給付贈與
交付遺贈
給付遺贈
死因贈與
確認通行權存在
確認董事委任關係
確認股東會決議無效
履行贈與
